id	isbn	name	author	publishing	publisheddate	price	pages	allnum
160	9787213060755	伟大创意的诞生:创新自然史	约翰逊	浙江人民	2014	52.9	100	2
161	9787539978536	华杉讲透孙子兵法	华杉	江苏文艺	2015	39.8	100	2
162	9787519300517	解码供给侧改革:2016-2020中国经济大趋势	厉以宁.等		2016	45	100	2
163	9787508651118	大空头	刘易斯	中信	2014	49	100	2
164	9787535481870	人生之谜令我入迷--周国平哲言录	周国平	长江文艺	2016	35	100	2
165	9787508650043	中国历史的教训	习骅	中信	2015	28	100	2
166	9787506083461	财经郎眼10--我们离幸福还有多远	郎咸平王牧笛	人民	2015	35	100	2
167	9787513317450	聆听:与一只鸟相遇的最好方式	巴恩斯	新星	2016	45	100	2
168	9787508659039	中国历史的教训	习骅	中信	2016	42	100	2
169	9787508661254	第四次工业革命	施瓦布	中信	2016	45	100	2
170	9787213063923	工匠精神:缔造伟大传奇的重要力量	福奇	浙江人民	2014	46.9	100	2
171	9787550272149	奇特的一生精装珍藏版 	格列宁	北京联合	2016	42	100	2
172	9787108047403	1944:腾冲之围	余戈	三联书店	2014	96	100	2
173	9787220095719	民族宗教工作的坚持与探索	朱维群	四川人民	2016	48	100	2
174	9787550227637	商业冒险:华尔街的12个经典故事	布鲁克斯	北京联合	2015	59.8	100	2
175	9787543896505	嗨-有人在吗?月球车玉兔日记	宗唯伊.大绵羊	湖南人民	2015	48	100	2
176	9787508659749	读懂供给侧改革	吴敬琏厉以宁郑永年	中信	2016	45	100	2
177	9787539990286	一盘大棋?--中国新命运解析	罗思义	江苏文艺	2016	46	100	2
178	9787506082082	帝国的溃败	张鸣	人民	2015	39	100	2
179	9787540475451	我读:我想和你一起虚度时光	凤凰书品	湖南文艺	2016	38	100	2
180	9787540466022	我读:读书-让我们不再孤单	梁文道.凤凰书品	湖南文艺	2014	32	100	2
181	9787508659244	远在古巴	雷竞璇	中信	2016	45	100	2
182	9787508655840	贫僧有话要说	星云大师	中信	2015	68	100	2
183	9787503474262	供给侧改革	吴敬琏	中国文史	2016	48	100	2
184	9787510456657	房地产企业事业合伙人	尚明淮	新 世 界	2016	38	100	2
185	9787100118811	发现最美的昆虫	梅里安	商务印书馆	2016	96	100	2
186	9787510456138	让世界免费	刘振友	新 世 界	2016	59.8	100	2
187	9787535673800	舍得-舍不得:带着金刚经旅行附光盘 	蒋勋	湖南美术	2015	45	100	2
188	9787547309148	中国思想史讲义	钱新祖	东方出版中心	2016	58	100	2
189	9787509779187	茶叶大盗:改变世界史的中国茶	罗斯	社科文献	2015	52	100	2
190	9787532771059	山寨中国的终结	雷小山	上海译文	2016	39	100	2
191	9787511729569	大变局.共享共治新未来	新京报	中央编译	2016	49.8	100	2
192	9787508655208	黑箱社会:控制金钱和信息的数据法则	帕斯奎尔	中信	2015	49	100	2
193	9787532156917	何为良好生活--行之于途而应于心	陈嘉映	上海文艺	2015	39	100	2
194	9787567116023	大国方略	顾骏	上海大学	2015	29	100	2
